input_name,utmb_index,utmb_match_name,utmb_match_score,utmb_profile_url,itra_score,itra_match_name,itra_match_score,itra_profile_url,betrail_score,betrail_match_name,betrail_match_score,betrail_profile_url,combined_score,notes
Vincent Alaminos,294.0,Vincent ALAMINOS,1.0,https://utmb.world/runner/8026810.vincent.alaminos,,,,,,,,,294.0,ITRA skipped because UTMB 294.0 <= threshold 680.0
Gary Tournier,270.0,Gary TOURNIER,1.0,https://utmb.world/runner/6993924.gary.tournier,,,,,,,,,270.0,ITRA skipped because UTMB 270.0 <= threshold 680.0
Dimitri Narçon,0.0,Dimitri NARÇON,1.0,https://utmb.world/runner/7896764.dimitri.narcon,,,,,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
Caroline Brouard,0.0,Caroline BROUARD,1.0,https://utmb.world/runner/5254870.caroline.brouard,,,,,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
Ethan Coutier,,,,,,Ethan COUTIER,1.0,https://itra.run/RunnerSpace/COUTIER.Ethan/6947365,,,,,0.0,UTMB not found; ITRA score missing in response
Mathis Barbeaux,,,,,,,,,,,,,0.0,UTMB not found; ITRA not found
Karim Maroua,0.0,Karim MAROUAN,0.822,https://utmb.world/runner/6651640.karim.marouan,,,,,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
Léo Grosgurin,,,,,,,,,,,,,0.0,UTMB not found; ITRA not found
Alexandre Pupel,0.0,Alexandre PUPEL,1.0,https://utmb.world/runner/1992105.alexandre.pupel,,,,,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
Denis Poulain,0.0,Denis POULAIN,1.0,https://utmb.world/runner/499064.denis.poulain,,,,,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
catherine bossin,0.0,Catherine BOSSIN,1.0,https://utmb.world/runner/622423.catherine.bossin,,,,,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
karinne perny,0.0,Karinne PERNY,1.0,https://utmb.world/runner/5763792.karinne.perny,,,,,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
Emile Medina,,,,,,,,,,,,,0.0,UTMB not found; ITRA not found
DAYANA KOLOPP,0.0,Dayana KOLOPP,1.0,https://utmb.world/runner/8349264.dayana.kolopp,,,,,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
Jennifer PRADES,0.0,Jennifer PRADES,1.0,https://utmb.world/runner/6784268.jennifer.prades,,,,,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
Patricia Bornet,0.0,Patricia BORNET,1.0,https://utmb.world/runner/4774012.patricia.bornet,,,,,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
Vanni La Storia,0.0,Vanni LA STORIA,1.0,https://utmb.world/runner/6651568.vanni.lastoria,,,,,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
