input_name,utmb_index,utmb_match_name,utmb_match_score,utmb_profile_url,itra_score,itra_match_name,itra_match_score,itra_profile_url,betrail_score,betrail_match_name,betrail_match_score,betrail_profile_url,combined_score,notes
Marco Zanoner,810.0,Marco ZANONER,1.0,https://utmb.world/runner/3337035.marco.zanoner,839.0,Marco ZANONER,1.0,https://itra.run/RunnerSpace/ZANONER.Marco/3337035,,,,,821.6,Betrail catalog unavailable: Betrail request blocked by Cloudflare.
Marco De Salvador,808.0,Marco DE SALVADOR,1.0,https://utmb.world/runner/109136.marco.desalvador,828.0,Marco DE SALVADOR,1.0,https://itra.run/RunnerSpace/DE SALVADOR.Marco/109136,,,,,816.0,Betrail catalog unavailable: Betrail request blocked by Cloudflare.
Marco Bellini,775.0,Marco BELLINI,1.0,https://utmb.world/runner/4465716.marco.bellini,821.0,Marco BELLINI,1.0,https://itra.run/RunnerSpace/BELLINI.Marco/4440892,,,,,793.4000000000001,Betrail catalog unavailable: Betrail request blocked by Cloudflare.
Alberto Freschi,762.0,Alberto FRESCHI,1.0,https://utmb.world/runner/4249785.alberto.freschi,807.0,Alberto FRESCHI,1.0,https://itra.run/RunnerSpace/FRESCHI.Alberto/4286529,,,,,780.0,Betrail catalog unavailable: Betrail request blocked by Cloudflare.
Rémy Valenti,742.0,Rémy VALENTI,1.0,https://utmb.world/runner/4200273.remy.valenti,776.0,Remy VALENTI,1.0,https://itra.run/RunnerSpace/VALENTI.Remy/4208606,,,,,755.6,Betrail catalog unavailable: Betrail request blocked by Cloudflare.
Danilo Peruch,726.0,Danilo PERUCH,1.0,https://utmb.world/runner/2658861.danilo.peruch,800.0,Danilo PERUCH,1.0,https://itra.run/RunnerSpace/PERUCH.Danilo/2658861,,,,,755.5999999999999,Betrail catalog unavailable: Betrail request blocked by Cloudflare.
Marco Nuti,737.0,Marco NUTI,1.0,https://utmb.world/runner/1923489.marco.nuti,767.0,Marco NUTI,1.0,https://itra.run/RunnerSpace/NUTI.Marco/1923489,,,,,749.0,Betrail catalog unavailable: Betrail request blocked by Cloudflare.
Ion Coban,725.0,Ion COBAN,1.0,https://utmb.world/runner/4833268.ion.coban,759.0,Ion COBAN,1.0,https://itra.run/RunnerSpace/COBAN.Ion/4658966,,,,,738.6,Betrail catalog unavailable: Betrail request blocked by Cloudflare.
Matteo Paladin,724.0,Matteo PALADIN,1.0,https://utmb.world/runner/4029843.matteo.paladin,737.0,Matteo PALADIN,1.0,https://itra.run/RunnerSpace/PALADIN.Matteo/4442655,,,,,729.2,Betrail catalog unavailable: Betrail request blocked by Cloudflare.
Thomas Coradazzi,710.0,Thomas CORADAZZI,1.0,https://utmb.world/runner/6686422.thomas.coradazzi,756.0,Thomas CORADAZZI,1.0,https://itra.run/RunnerSpace/CORADAZZI.Thomas/5957108,,,,,728.4000000000001,Betrail catalog unavailable: Betrail request blocked by Cloudflare.
Alberto Perobello,692.0,Alberto PEROBELLO,1.0,https://utmb.world/runner/7179328.alberto.perobello,766.0,Alberto PEROBELLO,1.0,https://itra.run/RunnerSpace/PEROBELLO.Alberto/5932796,,,,,721.6,Betrail catalog unavailable: Betrail request blocked by Cloudflare.
Marco Ferrari,719.0,Marco FERRARI,1.0,https://utmb.world/runner/6747215.marco.ferrari,725.0,Marco FERRARI,1.0,https://itra.run/RunnerSpace/FERRARI.Marco/6342424,,,,,721.4,Betrail catalog unavailable: Betrail request blocked by Cloudflare.
Andrea Menegatti,707.0,Andrea MENEGATTI,1.0,https://utmb.world/runner/4206348.andrea.menegatti,734.0,Andrea MENEGATTI,1.0,https://itra.run/RunnerSpace/MENEGATTI.Andrea/4176300,,,,,717.8,Betrail catalog unavailable: Betrail request blocked by Cloudflare.
Markus Pannier,714.0,Markus PANNIER,1.0,https://utmb.world/runner/5522860.markus.pannier,722.0,Markus PANNIER,1.0,https://itra.run/RunnerSpace/PANNIER.Markus/5095214,,,,,717.2,Betrail catalog unavailable: Betrail request blocked by Cloudflare.
Francesco Mazzola,699.0,Francesco MAZZOLA,1.0,https://utmb.world/runner/4316292.francesco.mazzola,739.0,Francesco MAZZOLA,1.0,https://itra.run/RunnerSpace/MAZZOLA.Francesco/4349953,,,,,715.0,Betrail catalog unavailable: Betrail request blocked by Cloudflare.
FEDERICO DEBORTOLI,688.0,Federico DEBORTOLI,1.0,https://utmb.world/runner/5784992.federico.debortoli,737.0,Federico DEBORTOLI,1.0,https://itra.run/RunnerSpace/DEBORTOLI.Federico/5189917,,,,,707.6,Betrail catalog unavailable: Betrail request blocked by Cloudflare.
