input_name,utmb_index,utmb_match_name,utmb_match_score,utmb_profile_url,itra_score,itra_match_name,itra_match_score,itra_profile_url,betrail_score,betrail_match_name,betrail_match_score,betrail_profile_url,combined_score,notes
Tatiana Peruffo,411.0,Tatiana PERUFFO,1.0,https://utmb.world/runner/3506285.tatiana.peruffo,,,,,,,,,411.0,ITRA skipped because UTMB 411.0 <= threshold 680.0
Raffaella Bonetti,411.0,Raffaella BONETTI,1.0,https://utmb.world/runner/445836.raffaella.bonetti,,,,,,,,,411.0,ITRA skipped because UTMB 411.0 <= threshold 680.0
Francesco Greggio,408.0,Francesco GREGGIO,1.0,https://utmb.world/runner/987017.francesco.greggio,,,,,,,,,408.0,ITRA skipped because UTMB 408.0 <= threshold 680.0
Yuri Fabbri,404.0,Yuri FABBRI,1.0,https://utmb.world/runner/319489.yuri.fabbri,,,,,,,,,404.0,ITRA skipped because UTMB 404.0 <= threshold 680.0
Roberto Petrolini,403.0,Roberto PETROLINI,1.0,https://utmb.world/runner/7241406.roberto.petrolini,,,,,,,,,403.0,ITRA skipped because UTMB 403.0 <= threshold 680.0
Cristian Boscaro,398.0,Cristian BOSCARO,1.0,https://utmb.world/runner/1913423.cristian.boscaro,,,,,,,,,398.0,ITRA skipped because UTMB 398.0 <= threshold 680.0
Fontana Robero,,,,,,,,,,,,,0.0,UTMB not found; ITRA not found
Alessandro Erroi,,,,,,,,,,,,,0.0,UTMB not found; ITRA not found
Giorgio Marin,0.0,Giorgio MARIN,1.0,https://utmb.world/runner/19874.giorgio.marin,,,,,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
Davide Zambon,0.0,Davide ZAMBON,1.0,https://utmb.world/runner/311876.davide.zambon,,,,,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
Loris Merlo,,,,,,,,,,,,,0.0,UTMB not found; ITRA not found
Matteo Venuti,0.0,Matteo VENUTI,1.0,https://utmb.world/runner/3451865.matteo.venuti,,,,,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
Mirta Romana Lydia Maria Basile Giannini,,,,,,,,,,,,,0.0,UTMB not found; ITRA not found
Elena Calzavara,,,,,,,,,,,,,0.0,UTMB not found; ITRA not found
Tania Asunta Carlet,,,,,,,,,,,,,0.0,UTMB not found; ITRA not found
Melih Namdar,0.0,Melih NAMDAR,1.0,https://utmb.world/runner/7680950.melih.namdar,,,,,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
Kyle Grogan,0.0,Kyle GROGAN,1.0,https://utmb.world/runner/3380149.kyle.grogan,,,,,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
Paolo Bizzotto,0.0,Paolo BIZZOTTO,1.0,https://utmb.world/runner/21270.paolo.bizzotto,,,,,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
Oscar Da Re,,,,,,,,,,,,,0.0,UTMB not found; ITRA not found
Luca Angelino,,,,,,,,,,,,,0.0,UTMB not found; ITRA not found
ANGELO BARISAN,0.0,Angelo BARISAN,1.0,https://utmb.world/runner/624265.angelo.barisan,,,,,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
MARCO LONDEI,0.0,Marco LONDEI,1.0,https://utmb.world/runner/8479018.marco.londei,,,,,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
