input_name,utmb_index,utmb_match_name,utmb_match_score,utmb_profile_url,itra_score,itra_match_name,itra_match_score,itra_profile_url,betrail_score,betrail_match_name,betrail_match_score,betrail_profile_url,combined_score,notes
SIMONE GALLIZIOLI,615.0,Simone GALLIZIOLI,1.0,https://utmb.world/runner/6724027.simone.gallizioli,,,,,,,,,615.0,ITRA skipped because UTMB 615.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
SILVIA ZANCHI,615.0,Silvia ZANCHI,1.0,https://utmb.world/runner/6608070.silvia.zanchi,,,,,,,,,615.0,ITRA skipped because UTMB 615.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
STEFANO ZAFFARONI,615.0,Stefano ZAFFARONI,1.0,https://utmb.world/runner/4525128.stefano.zaffaroni,,,,,,,,,615.0,ITRA skipped because UTMB 615.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
GABRIELE MENEGONI,613.0,Gabriele MENEGONI,1.0,https://utmb.world/runner/5550602.gabriele.menegoni,,,,,,,,,613.0,ITRA skipped because UTMB 613.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
MARCO REOLETTI,612.0,Marco REOLETTI,1.0,https://utmb.world/runner/6049698.marco.reoletti,,,,,,,,,612.0,ITRA skipped because UTMB 612.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
RAZVAN MIHAI POPA,719.0,Razvan Mihai MATEI,1.0,https://utmb.world/runner/2484085.razvanmihai.matei,449.0,Razvan MIHAI POPA,1.0,https://itra.run/RunnerSpace/MIHAI POPA.Razvan/6478866,,,,,611.0,Betrail catalog unavailable: Betrail request blocked by Cloudflare.
MARCO ZORDAN,605.0,Marco ZORDAN,1.0,https://utmb.world/runner/5253054.marco.zordan,,,,,,,,,605.0,ITRA skipped because UTMB 605.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
LUCAS DESPROGES,605.0,Lucas DESPROGES-GOTTERON,1.0,https://utmb.world/runner/4841470.lucas.desprogesgotteron,,,,,,,,,605.0,ITRA skipped because UTMB 605.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
GABRIELE BRUGNETTI,601.0,Gabriele BRUGNETTI,1.0,https://utmb.world/runner/1560079.gabriele.brugnetti,,,,,,,,,601.0,ITRA skipped because UTMB 601.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
MADDALENA CAROLO,601.0,Maddalena CAROLO,1.0,https://utmb.world/runner/4155359.maddalena.carolo,,,,,,,,,601.0,ITRA skipped because UTMB 601.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
GABRIELE CONTI,600.0,Gabriele CONTI,1.0,https://utmb.world/runner/2141229.gabriele.conti,,,,,,,,,600.0,ITRA skipped because UTMB 600.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
GIACOMO GIOVANNINI,600.0,Giacomo GIOVANNINI,1.0,https://utmb.world/runner/3083441.giacomo.giovannini,,,,,,,,,600.0,ITRA skipped because UTMB 600.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
Alberto Dal Sasso,596.0,Alberto DAL SASSO,1.0,https://utmb.world/runner/5701110.alberto.dalsasso,,,,,,,,,596.0,ITRA skipped because UTMB 596.0 <= threshold 670.0; Betrail catalog unavailable: Betrail request blocked by Cloudflare.
