input_name,utmb_index,utmb_match_name,utmb_match_score,utmb_profile_url,itra_score,itra_match_name,itra_match_score,itra_profile_url,betrail_score,betrail_match_name,betrail_match_score,betrail_profile_url,combined_score,notes
SIMONE CORSINI,823.0,Simone CORSINI,1.0,https://utmb.world/runner/653561.simone.corsini,861.0,Simone CORSINI,1.0,https://itra.run/RunnerSpace/CORSINI.Simone/4265382,84.97,CORSINI Simone,1.0,https://www.betrail.run/runner/corsini.simone/overview,838.2,
ALEŠ FRLIC,821.0,Aleš FRLIC,1.0,https://utmb.world/runner/4292188.ales.frlic,850.0,Aleš FRLIC,1.0,https://itra.run/RunnerSpace/FRLIC.Aleš/4169224,78.49,ALEš FRLIC,1.0,https://www.betrail.run/runner/ales.frlic/overview,832.5999999999999,
TIZIANO SCATOLIN,806.0,Tiziano SCATOLIN,1.0,https://utmb.world/runner/3999116.tiziano.scatolin,849.0,Tiziano SCATOLIN,1.0,https://itra.run/RunnerSpace/SCATOLIN.Tiziano/3999116,79.71,SCATOLIN TIZIANO,0.95,https://www.betrail.run/runner/scatolin.tiziano/overview,823.2,
SIDNEY THOMASSET,805.0,Sidney THOMASSET,1.0,https://utmb.world/runner/766730.sidney.thomasset,833.0,Sidney THOMASSET,1.0,https://itra.run/RunnerSpace/THOMASSET.Sidney/766730,84.23,THOMASSET SIDNEY,1.0,https://www.betrail.run/runner/thomasset.sidney/overview,816.2,
DANILO LANTERMINO,783.0,Danilo LANTERMINO,1.0,https://utmb.world/runner/60058.danilo.lantermino,826.0,Danilo LANTERMINO,1.0,https://itra.run/RunnerSpace/LANTERMINO.Danilo/60058,80.79,LANTERMINO DANILO,1.0,https://www.betrail.run/runner/lantermino.danilo/overview,800.2,
JAN PROCHÁZKA,788.0,Jan PROCHAZKA,1.0,https://utmb.world/runner/4789840.jan.prochazka,788.0,Jan PROCHÁZKA,1.0,https://itra.run/RunnerSpace/PROCHÁZKA.Jan/4618693,71.86,PROCHÁZKA JAN,1.0,https://www.betrail.run/runner/prochazka.jan/overview,788.0,
MARK PENNA,763.0,Mark PENNA,1.0,https://utmb.world/runner/2536883.mark.penna,813.0,Mark PENNA,1.0,https://itra.run/RunnerSpace/PENNA.Mark/2536883,72.24,PENNA MARK,0.95,https://www.betrail.run/runner/penna.mark/overview,783.0,
ALBERTO FRESCHI,766.0,Alberto FRESCHI,1.0,https://utmb.world/runner/4249785.alberto.freschi,807.0,Alberto FRESCHI,1.0,https://itra.run/RunnerSpace/FRESCHI.Alberto/4286529,77.01,FRESCHI ALBERTO,1.0,https://www.betrail.run/runner/freschi.alberto/overview,782.4,
CORNELIU BULIGA,757.0,Corneliu BULIGA,1.0,https://utmb.world/runner/774451.corneliu.buliga,818.0,Corneliu BULIGA,1.0,https://itra.run/RunnerSpace/BULIGA.Corneliu/774451,79.44,BULIGA CORNELIU,1.0,https://www.betrail.run/runner/buliga.corneliu/overview,781.4000000000001,
GIANLUCA GALEATI,759.0,Gianluca GALEATI,1.0,https://utmb.world/runner/20967.gianluca.galeati,815.0,Gianluca GALEATI,1.0,https://itra.run/RunnerSpace/GALEATI.Gianluca/20967,77.85,GALEATI GIANLUCA,1.0,https://www.betrail.run/runner/galeati.gianluca/overview,781.4,
