input_name,utmb_index,utmb_match_name,utmb_match_score,utmb_profile_url,itra_score,itra_match_name,itra_match_score,itra_profile_url,betrail_score,betrail_match_name,betrail_match_score,betrail_profile_url,combined_score,notes
Daniele Bergeretti,509.0,Daniele BERGERETTI,1.0,https://utmb.world/runner/317114.daniele.bergeretti,,,,,,,,,509.0,ITRA skipped because UTMB 509.0 <= threshold 650.0
Mattia Pasetto,509.0,Mattia PASETTO,1.0,https://utmb.world/runner/1291105.mattia.pasetto,,,,,,,,,509.0,ITRA skipped because UTMB 509.0 <= threshold 650.0
Giosue Simonato,509.0,Giosue SIMONATO,1.0,https://utmb.world/runner/4214032.giosue.simonato,,,,,,,,,509.0,ITRA skipped because UTMB 509.0 <= threshold 650.0
Filippo Tosi,509.0,Filippo TOSI,1.0,https://utmb.world/runner/4227234.filippo.tosi,,,,,,,,,509.0,ITRA skipped because UTMB 509.0 <= threshold 650.0
Luca Zenatti,509.0,Luca ZENATTI,1.0,https://utmb.world/runner/4699876.luca.zenatti,,,,,,,,,509.0,ITRA skipped because UTMB 509.0 <= threshold 650.0
Stefano Comai,508.0,Stefano COMAI,1.0,https://utmb.world/runner/3707307.stefano.comai,,,,,,,,,508.0,ITRA skipped because UTMB 508.0 <= threshold 650.0
Alessandro Lauriola,506.0,Alessandro LAURIOLA,1.0,https://utmb.world/runner/4750954.alessandro.lauriola,,,,,,,,,506.0,ITRA skipped because UTMB 506.0 <= threshold 650.0
Alex Francesco Vasario,505.0,Alex Francesco VASARIO,1.0,https://utmb.world/runner/6147826.alexfrancesco.vasario,,,,,,,,,505.0,ITRA skipped because UTMB 505.0 <= threshold 650.0
Matteo Franzan,503.0,Matteo FRANZAN,1.0,https://utmb.world/runner/204095.matteo.franzan,,,,,,,,,503.0,ITRA skipped because UTMB 503.0 <= threshold 650.0
Giovanni Di Cola,503.0,Giovanni DI COLA,1.0,https://utmb.world/runner/526701.giovanni.dicola,,,,,,,,,503.0,ITRA skipped because UTMB 503.0 <= threshold 650.0
Mathia Scucchiari,503.0,Mathia SCUCCHIARI,1.0,https://utmb.world/runner/4675622.mathia.scucchiari,,,,,,,,,503.0,ITRA skipped because UTMB 503.0 <= threshold 650.0
Giuseppe De Venuto,501.0,Giuseppe DE VENUTO,1.0,https://utmb.world/runner/490710.giuseppe.devenuto,,,,,,,,,501.0,ITRA skipped because UTMB 501.0 <= threshold 650.0
Matteo Simioni,501.0,Matteo SIMIONI,1.0,https://utmb.world/runner/6307140.matteo.simioni,,,,,,,,,501.0,ITRA skipped because UTMB 501.0 <= threshold 650.0
Giulia Zordan,501.0,Giulia ZORDAN,1.0,https://utmb.world/runner/5028044.giulia.zordan,,,,,,,,,501.0,ITRA skipped because UTMB 501.0 <= threshold 650.0
Daniel Londero,500.0,Daniel LONDERO,1.0,https://utmb.world/runner/749593.daniel.londero,,,,,,,,,500.0,ITRA skipped because UTMB 500.0 <= threshold 650.0
Stefano Giovanni Bonomo,499.0,Stefano-Giovanni BONOMO,1.0,https://utmb.world/runner/424949.stefanogiovanni.bonomo,,,,,,,,,499.0,ITRA skipped because UTMB 499.0 <= threshold 650.0
Stefano Beschin,498.0,Stefano BESCHIN,1.0,https://utmb.world/runner/5253056.stefano.beschin,,,,,,,,,498.0,ITRA skipped because UTMB 498.0 <= threshold 650.0
Elisabetta Gumiero,498.0,Elisabetta GUMIERO,1.0,https://utmb.world/runner/425001.elisabetta.gumiero,,,,,,,,,498.0,ITRA skipped because UTMB 498.0 <= threshold 650.0
Alice Dalla Costa,496.0,Alice DALLA COSTA,1.0,https://utmb.world/runner/1379669.alice.dallacosta,,,,,,,,,496.0,ITRA skipped because UTMB 496.0 <= threshold 650.0
Erika Pold,486.0,Erika POLD,1.0,https://utmb.world/runner/4187730.erika.pold,511.0,Erika POLD,1.0,https://itra.run/RunnerSpace/POLD.Erika/4171595,,,,,496.0,ITRA stale score repo fallback used
Michael Bolzon,496.0,Michael BOLZON,1.0,https://utmb.world/runner/5036316.michael.bolzon,,,,,,,,,496.0,ITRA skipped because UTMB 496.0 <= threshold 650.0
Tiziana Franzetti,491.0,Tiziana FRANZETTI,1.0,https://utmb.world/runner/630470.tiziana.franzetti,,,,,,,,,491.0,ITRA skipped because UTMB 491.0 <= threshold 650.0
Andrea Greggio,490.0,Andrea GREGGIO,1.0,https://utmb.world/runner/3786141.andrea.greggio,,,,,,,,,490.0,ITRA skipped because UTMB 490.0 <= threshold 650.0
Alessandro Rizzon,490.0,Alessandro RIZZON,1.0,https://utmb.world/runner/7241390.alessandro.rizzon,,,,,,,,,490.0,ITRA skipped because UTMB 490.0 <= threshold 650.0
Stefano Cucchetti,488.0,Stefano CUCCHETTI,1.0,https://utmb.world/runner/2017605.stefano.cucchetti,,,,,,,,,488.0,ITRA skipped because UTMB 488.0 <= threshold 650.0
Davide Dalla Vecchia,488.0,Davide DALLA VECCHIA,1.0,https://utmb.world/runner/6732028.davide.dallavecchia,,,,,,,,,488.0,ITRA skipped because UTMB 488.0 <= threshold 650.0
Iustin Damoc,487.0,Iustin DAMOC,1.0,https://utmb.world/runner/5701260.iustin.damoc,,,,,,,,,487.0,ITRA skipped because UTMB 487.0 <= threshold 650.0
Luca Carpino,487.0,Luca CARPINO,1.0,https://utmb.world/runner/3658077.luca.carpino,,,,,,,,,487.0,ITRA skipped because UTMB 487.0 <= threshold 650.0
Matteo Campanella,483.0,Matteo CAMPANELLA,1.0,https://utmb.world/runner/4206363.matteo.campanella,,,,,,,,,483.0,ITRA skipped because UTMB 483.0 <= threshold 650.0
Germano Corradi,483.0,Germano CORRADI,1.0,https://utmb.world/runner/479028.germano.corradi,,,,,,,,,483.0,ITRA skipped because UTMB 483.0 <= threshold 650.0
Paolo Grando,468.0,Paolo GRANDO,1.0,https://utmb.world/runner/7244602.paolo.grando,505.0,Paolo GRANDO,1.0,https://itra.run/RunnerSpace/GRANDO.Paolo/6306920,,,,,482.8,ITRA stale score repo fallback used
