input_name,utmb_index,utmb_match_name,utmb_match_score,utmb_profile_url,itra_score,itra_match_name,itra_match_score,itra_profile_url,combined_score,notes
Camille-Joséphine Teisseire,423.0,Camille-Joséphine TEISSEIRE,1.0,https://utmb.world/runner/6368348.camillejosephine.teisseire,,,,,423.0,ITRA skipped because UTMB 423.0 <= threshold 680.0
Damien ROGER,423.0,Damien ROGER,1.0,https://utmb.world/runner/6676296.damien.roger,,,,,423.0,ITRA skipped because UTMB 423.0 <= threshold 680.0
JEROME BIDALOT,422.0,Jerome BIDALOT,1.0,https://utmb.world/runner/1415497.jerome.bidalot,,,,,422.0,ITRA skipped because UTMB 422.0 <= threshold 680.0
Ewan SEAN,420.0,Ewan SEAN,1.0,https://utmb.world/runner/7862510.ewan.sean,,,,,420.0,ITRA skipped because UTMB 420.0 <= threshold 680.0
Tanya Sharonizadeh,420.0,Tanya SHARONIZADEH,1.0,https://utmb.world/runner/897939.tanya.sharonizadeh,,,,,420.0,ITRA skipped because UTMB 420.0 <= threshold 680.0
Karine Cellauro,419.0,Karine CELLAURO,1.0,https://utmb.world/runner/726050.karine.cellauro,,,,,419.0,ITRA skipped because UTMB 419.0 <= threshold 680.0
ANGELIQUE POULAIN,418.0,Angélique POULAIN,1.0,https://utmb.world/runner/3588751.angelique.poulain,,,,,418.0,ITRA skipped because UTMB 418.0 <= threshold 680.0
Carine PINTO,418.0,Carine PINTO,1.0,https://utmb.world/runner/4781682.carine.pinto,,,,,418.0,ITRA skipped because UTMB 418.0 <= threshold 680.0
Matheus Quinteiro,418.0,Matheus QUINTEIRO,1.0,https://utmb.world/runner/7762048.matheus.quinteiro,,,,,418.0,ITRA skipped because UTMB 418.0 <= threshold 680.0
Gwladys Gibon,418.0,Gwladys GIBON,1.0,https://utmb.world/runner/7633750.gwladys.gibon,,,,,418.0,ITRA skipped because UTMB 418.0 <= threshold 680.0
clara nommer,417.0,Clara NOMMER,1.0,https://utmb.world/runner/3112231.clara.nommer,,,,,417.0,ITRA skipped because UTMB 417.0 <= threshold 680.0
christian taitard,416.0,Christian TAITARD,1.0,https://utmb.world/runner/5053120.christian.taitard,,,,,416.0,ITRA skipped because UTMB 416.0 <= threshold 680.0
Alexandre Durif,415.0,Alexandre DURIF,1.0,https://utmb.world/runner/8116070.alexandre.durif,,,,,415.0,ITRA skipped because UTMB 415.0 <= threshold 680.0
Anaïs GAUTHIER,414.0,Anais GAUTHIER,1.0,https://utmb.world/runner/7890346.anais.gauthier,,,,,414.0,ITRA skipped because UTMB 414.0 <= threshold 680.0
